0,1,2
,3135.9900,"Metal Production Process Controllers, Other"
Family,3139,Process Control Technicians Not Elsewhere
,,Classified
,3139.0100,"Digester Operator, Paper Pulp"
,3139.0200,"Beaterman, Paper Pulp"
,3139.0300,"Machineman, Paper, Wet End"
,3139.0400,"Machineman, Paper, Dry End"
,3139.0500,"Calenderman, Paper"
,3139.1400,Robotic Machine Operator
,3139.1501,Autocomponent Assembly Fitter
,3139.2001,Assembly Supervisor
,3139.5001,Quality Control Inspector
,3139.5002,Quality Controller
,3139.9900,"Industrial Robot Operators, Other"
Group,314,Life Science Technicians and Related Associate
,,Professionals
Family,3141,Life Science Technicians (Excluding Medical)
,3141.0100,"Laboratory Assistant, Zoological"
,3141.0200,"Laboratory Assistant, Botanical"
,3141.0300,Taxidermist
,3141.9900,"Life Science Technicians (Excluding Medical),"
National Classification of Occupations – 2015,,
,,NCO 2015
,,Other
Family,3142,Agricultural Technicians
,3142.0101,Micro Irrigation Technician
,3142.0201,Bare Foot Technician (BFT)
,3142.9900,"Agricultural Technicians, Others"
Family,3143,Forestry Technicians
Group,315,"Ship and Aircraft Controllers, and Technicians"
Family,3151,Ship’s Engineers
,3151.0100,"Chief Engineer, Ship"
,3151.0200,"Second Engineer, Ship"
,3151.0300,"Third Engineer, Ship"
,3151.0400,"Fourth Engineer, Ship"
,3151.0500,"Fifth Engineer, Ship/Junior Engineer"
,3151.9900,"Ship and Aircraft Controllers and Technicians,"
,,Other
Family,3152,Ship’s Deck Officers and Pilots
,3152.0100,"Captain, Ship/Master"
,3152.0200,"Chief Officer, Ship"
,3152.0300,"Second Officer, Ship"
,3152.0400,"Third Officer, Ship"
,3152.0500,Harbour Master
,3152.0600,Pilot Ship/Bay Pilot/Harbour Pilot/Channel Pilot
,,NCO 2015
,3152.0900,Ferry Officer
,3152.9900,"Ship’s Deck Officers and Pilots, Other"
Family,3153,Aircraft Pilots and Related Associate
,,Professionals
,3153.0100,"Chief Pilot, Aircraft"
,3153.0200,Check Pilot
,3153.0300,"Pilot, General"
,3153.0400,"Aircraft Pilot, Specialized"
,3153.0500,"Pilot, Glider"
,3153.0600,"Chief Navigator, Aircraft"
,3153.0700,"Check Navigator, Aircraft"
,3153.0800,"Navigator, Aircraft"
,3153.0900,Chief Flight Engineer
,3153.1000,Check Flight Engineer
,3153.1100,Flight Engineer
,3153.9900,Aircraft Pilots and Related Associate
,,"Professionals, Other"
Family,3154,Air Traffic Controllers
,3154.0100,Air Traffic Controller Specialist
,3154.0200,"Traffic Controller, Air Service"
,3154.9900,"Air Traffic Controllers, Other"
Family,3155,Air Traffic Safety Electronics Technicians
Sub-,32,Health Associate Professionals
,,NCO 2015
Division,,
Group,321,Medical and Pharmaceutical Technicians
Family,3211,Medical Imaging and Therapeutic Equipment
,,Technicians
,3211.0100,X-Ray Technician
,3211.0101,Radiology Technician
,3211.0200,Bio-Medical Equipment Technician
,3211.0501,Medical Equipment Technician
,3211.0801,Cardiac Care Technician
,3211.9900,Medical Imaging and Therapeutic Equipment
,,"Technicians, Other"
Family,3212,Medical and Pathology Laboratory Technicians
,3212.0101,Operation Theatre Technician
,3212.0201,Dialysis Technician
,3212.0301,Anaesthesia Technician
,3212.0501,Histotechnician
,3212.0601,Phlebotomy Technician
,3212.0602,Blood Bank Technician
,3212.0701,Medical Laboratory Technician
,3212.9900,"Dialysis Technician Life Science Technicians, Other"
Family,3213,Pharmaceutical Technicians and Assistants
,3213.0100,Pharmacist
,3213.0101,Pharmacy Assistant
,,NCO 2015
,3213.0200,"Laboratory Assistant, Pharmaceutical"
,3213.9900,"Pharmaceutical Assistants, Other"
Family,3214,Medical and Dental Prosthetic Technicians
,3214.0100,"Mechanic, Dental"
,3214.9900,"Medical and Dental Prosthetic Technicians, Other"
Group,322,Nursing and Midwifery Associate Professionals
Family,3221,Nursing Associate Professionals
,3221.0100,"Nurse, General"
,3221.0200,"Nurse, Industrial"
,3221.0300,Nursing Attendant
,3221.9900,"Nursing Associate Professionals, Other"
Family,3222,Midwifery Associate Professionals
,3222.0100,Midwife
,3222.0200,Midwifery Attendant
,3222.0300,Lady Health Visitor/ASHA Worker/Anganwadi
,,Worker
,3222.9900,"Midwifery Associate Professionals, Other"
Group,323,Traditional and Complementary Medicine
,,Associate Professionals
Family,3230,Traditional and Complementary Medicine
,,Associate Professionals
Group,324,Veterinary Technicians and Assistants
Family,3240,Veterinary Technicians and Assistants
,,NCO 2015
,3240.0100,"Vaccinator, Veterinary"
,3240.0200,Stockman
,3240.0300,Animal Keeper
,3240.0400,"Laboratory Technician, Artificial Breeding"
,3240.9900,"Veterinary Technicians and Assistants, Other"
Group,325,Other Health Associate Professionals
Family,3251,Dental Assistants and Therapists
,3251.0101,Dental Assistant
,3251.9900,"Dental Assistants and Therapists, Other"
Family,3252,Medical Records and Health Information
,,Technicians
,3252.0101,Medical Records and Health Information
,,Technician
Family,3253,Community Health Workers
,3253.0101,Diabetes Educator
,3253.0201,Frontline Health Worker
,3253.9900,"Community Health Workers, Other"
Family,3254,Dispensing Opticians
,3254.0100,"Optician, General"
,3254.0200,"Optician, Contact Lens"
,3254.9900,"Dispensing Opticians, Other"
Family,3255,Physiotherapy Technicians and Assistants
,3255.0101,Assistant Physiotherapist
,,NCO 2015
Family,3256,Medical Assistants
,3256.0101,Refractionist
,3256.0202,Vision Technician
,3256.9900,"Medical Assistants, Other"
Family,3257,Environmental and Occupational Health
,,Inspectors and Associates
,3257.0100,Sanitary Inspector
,3257.0300,"Environment Science and Protection Technician,"
,,Including Health
,3257.0400,Environmental Compliance Inspector
,3257.0500,Environmental Engineering Technician
,3257.0600,"Health, Safety and Environment Officer"
,3257.9900,"Environment Science and Protection Technicians,"
,,Other
Family,3258,Ambulance Workers
Family,3259,Modern Health Associate Professionals Not
,,Elsewhere Classified
Sub-,33,Business and Administration Associate
Division,,Professionals
Group,331,Financial and Mathematical Associate
,,Professionals
Family,3311,Securities and Finance Dealers and Brokers
,3311.0100,"Broker, Share Market"
,3311.0200,"Jobber, Share Market"
,,NCO 2015
,3311.0201,Equity Dealer
,3311.0202,Mutual Fund Agent
,3311.9900,"Securities and Finance Dealers and Brokers, Other"
Family,3312,Credit and Loan Officers
,3312.0100,Finance Agent
,3312.0101,Loan Approval Officer
,3312.9900,"Credit and Loan Officers, Other"
Family,3313,Accounting Associate Professionals
Family,3314,"Statistical, Mathematical and Related Associate"
,,Professionals
,3314.0100,Economic Investigator
,3314.0200,Statistical Assistant
,3314.9900,"Statistical, Mathematical and Related Associate"
,,"Professionals, Other"
Family,3315,Valuers and Loss Assessors
,3315.0100,Valuer
,3315.0200,"Claims Inspector, Railways"
,3315.0300,"Appraiser, Customs"
,3315.0501,Warranty In-Charge
,3315.9900,"Valuers and Loss Assessors, Other"
Group,332,Sales and Purchasing Agents and Brokers
Family,3321,Insurance Representatives
,3321.0100,Insurance Agent
,,NCO 2015
,3321.0101,Sales Officer (Auto Insurance)
,3321.0102,Sales Consultant (Auto Finance)
,3321.0200,"Insurance Adjuster, Examiner, Surveyor and"
,,Investigator
,3321.0201,"Finance, Insurance and Registration"
,,Co-Ordinator
,3321.9900,"Insurance Representatives, Other"
Family,3322,Commercial Sales Representatives
,3322.0101,"Sales Representative, Technical"
,3322.0200,"Commercial Traveller, General"
,3322.0300,"Canvasser, Sales"
,3322.0500,"Sales Supervisor, Wholesale Trade"
,3322.0601,Key Accounts Sales Manager
,3322.0701,Regional Parts Manager
,3322.0801,Area Manager (Auto Components)
,3322.0802,Sales Officer (Auto Components)
,3322.0900,"Sales Supervisor, Retail Trade"
,3322.1001,Territory Sales Manager
,3322.1002,Territory Sales Manager (Used Vehicles)
,3322.1101,Customer Relationship Manager
,3322.1102,Regional Manager – Customer Care
,3322.1201,Regional Sales Manager (Pre-Owned Vehicles)
,NCO 2015,NCO 2004
3322.1202,Sales Lead (Pre-Owned Vehicles),
3322.1203,Sales Consultant (Pre-Owned Vehicles),
3322.1301,Sales Manager,
3322.1302,Sales Consultant (Institutional,
,Sales),
3322.1303,Sales Consultant (Retail),
3322.1304,Sales Consultant,
3322.1305,Floor Manager,
3322.1306,Store Manager,
3322.1400,Other Sales Supervisor,3415.80
3322.1501,Regional Sales Manager (RSM),
3322.1601,Regional Dealer Development Manager/Network,
,Expansion Manager,
3322.1701,Marketing Manager – Line of Business,
3322.1702,Marketing and Social Media Manager,
3322.2101,Regional Retail Finance and Insurance Manager,
3322.2501,Service Supervisor,
3322.2502,Service Advisor,
3322.2503,Service Office Manager,
3322.2504,Service Office Executive,
3322.4001,Pre-Delivery Inspection In-Charge,
3322.4002,Pre-Delivery Inspection Supervisor,
,,NCO 2015
,3322.5001,Plumbing Products Sales Officer
,3322.5002,Plumber Aftersales Service
,3322.6001,Export Executive
,3322.6011,Export Assistant
,3322.9900,"Commercial Sales Representatives, Other"
Family,3323,Buyers
,3323.0100,Buyer
,3323.0101,Merchandiser – Gem & Jewellery
,3323.0102,Merchandiser – Apparel
,3323.0200,Purchasing Agent
,3323.0301,Vendor Development Executive
,3323.0401,Purchase Executive
,3323.0501,Purchase Executive – Solar
,3323.0601,Associate – Supply Chain Management
,3323.0602,Supply Chain Field Assistant
,3323.9900,"Buyers, Other"
Family,3324,Trade Brokers
Group,333,Business Service Agents
Family,3331,Clearing and Forwarding Agents
Family,3332,Conference and Event Planners
Family,3333,Employment Agents and Contractors
Family,3334,Real Estate Agents and Property Managers
,,NCO 2015
,3334.0100,Property Dealer
,3334.0200,House Agent
,3334.9900,"Estate Agents, Other"
Family,3339,Business Service Agents Not Elsewhere Classified
,3339.0200,Brand Manager
,3339.0300,Auctioneer
,3339.0400,"Crier, Auction"
,3339.0500,"Conductor, Auction Sale"
,3339.0601,Delivery Management Cell Agent
Group,334,Administrative and Specialized Secretaries
Family,3341,Office Supervisors
,3341.0200,"Overseer, Postmen"
,3341.0400,"Supervisor, Telephone"
,3341.0500,"Monitor, Telephone"
,3341.0600,"Supervisor, Wireless"
,3341.0700,Headlight Keeper
,3341.0800,Section Officer
,3341.0900,"Inspectors and Supervisors, Other (Clerical)"
,3341.1000,Office Assistant
,3341.1100,Briefing Assistant
,3341.1200,Sub-Post Master
,3341.9900,"Office Supervisors, Other"
,,NCO 2015
Family,3342,Legal Secretaries
Family,3343,Administrative and Executive Secretaries
Family,3344,Medical Secretaries
Group,335,Government Regulatory Associate Professionals
Family,3351,Customs and Border Inspectors
,3351.0100,"Inspector, Customs"
,3351.0200,"Supervisor, Customs"
,3351.0300,Searcher
,3351.9900,"Customs and Border Inspectors, Other"
Family,3352,Government Tax and Excise Officials
,3352.0100,"Inspector, Excise"
,3352.9900,"Government Tax and Excise Officials, Other"
Family,3353,Government Social Benefits Officials
,3353.0100,Village Level Worker
,3353.0200,"Patroller, Women"
,3353.9900,"Government Social Benefits Officials, Other"
Family,3354,Government Licensing Officials
Family,3355,Police Inspectors and Detectives
,3355.0100,"Inspector, Police"
,3355.0200,"Sub-Inspector, Police"
,3355.0300,Detective
,3355.9900,"Police Inspectors and Detectives, Other"
,,NCO 2015
Family,3359,Government Regulatory Associate Professionals
,,Not Elsewhere Classified
Sub-,34,"Legal, Social, Cultural and Related Associate"
Division,,Professionals
Group,341,"Legal, Social and Religious Associate"
,,Professionals
Family,3411,Legal and Related Associate Professionals
,3411.0100,Legal Assistant
,3411.0200,Shirestedar
,3411.0300,Petition Writer
,3411.9900,"Legal and Related Associate Professionals, Other"
Family,3412,Social Work Associate Professionals
,3412.0100,Blood Donor Unit Assistant
,3412.0200,Equal Opportunity Officer
,3412.9900,Social Work Associate Professionals
Family,3413,Religious Associate Professionals
Group,342,Sports and Fitness Workers
Family,3421,Athletes and Sports Players
,3421.0100,"Professional Sportsman/Professional, Athlete"
,3421.0200,Jockey
Family,3422,"Sports Coaches, Instructors and Officials"
,3422.0100,Athletic Coach
,3422.0201,Sports Coach
,,NCO 2015
,3422.0300,Riding Instructor
,3422.0400,Umpire
,3422.0500,Marker/Groundsmen & Women
,3422.9900,"Sports Coaches, Instructors and Officials, Other"
Family,3423,"Fitness and Recreation Instructors, and"
,,Programme Leaders
,3423.0101,Fitness Trainer/Fitness Instructor
,3423.0200,Physical Training Instructor/Physical Education
,,Teacher
,3423.0501,Lifeguard
,3423.9900,Fitness and Recreation Instructors and
,,Programme Leaders
Group,343,Administrative Associate Professionals
Family,3431,Photographers
,3431.0100,"Photographer, General"
,3431.0200,Photographer News
,3431.0300,"Photographer, Aerial"
,3431.9900,"Photographers, Other"
Family,3432,Interior Designers
,3432.0100,Interior Designer
,3432.0200,Decorator
,3432.0501,Bathroom and Kitchen Designer
,3432.9900,"Decorators and Commercial Designers, Other"
,,NCO 2015
Family,3433,"Gallery, Museum and Library Technicians"
Family,3434,Chefs
,3434.0100,Head Cook/Head Chef
Family,3435,Other Artistic and Cultural Associate
,,Professionals
,3435.0100,Tattoo Artist
,3435.0200,Stuntman
,3435.0300,Prompter
,3435.0400,Merry-Go-Round Operator
,3435.0500,Floral Designer
,3435.9900,Other Artistic and Cultural Associate
,,"Professionals, Other"
Sub-,35,Information and Communications Technicians
Division,,
Group,351,Information and Communication Technology
,,Operations and User Support Technicians
Family,3511,Information and Communication Technology
,,Operations Technicians
,3511.0101,Domestic Biometric Data Operator
Family,3512,Information and Communication Technology
,,User Support Technicians
,3512.0100,Data Recovery Planner/System Administrator
,3512.0101,Domestic IT Helpdesk Attendant
,3512.0200,Desktop Publishing Operator
,,NCO 2015
,3512.0202,Associate— Desktop Publishing (DTP)
,3514.0300,Programming Assistant/Junior Software Engineer
,3512.0401,Disk Duplicator
,3512.0501,IT Co-Ordinator in School
,3512.0601,Associate – Clinical Data Management
,3512.0700,Medical Transcriptionist
,3512.0702,Associate – Medical Transcription
,3512.0801,Engineer – Technical Support
,3512.9900,Information and Communication Technology User
,,"Support Technicians, Other"
Family,3513,Computer Network and Systems Technician
,3513.0100,System Administration Assistant/Junior System
,,Administrator
,3513.0200,Computer Security Specialist
,3513.0301,Infrastructure Engineer
,3513.9900,"Computer Network and Systems Technician,"
,,Other
Family,3514,Web Technician
Group,352,Telecommunication and Broadcasting
,,Technicians
Family,3521,Broadcasting and Audiovisual Technicians
,3521.0100,Cinematographer
,3521.0200,Movie Cameraman
,,NCO 2015
,3521.0300,"Cameraman, Animation"
,3521.0401,Sound Recording Equipment Operator/Sound
,,Assistant
,3521.0501,Film Editor/Editor
,3521.0511,Sound Editor
,3521.0600,"Supervisor, Broadcasting Audiovisual Projection"
,,and Sound Equipment Operations
,3521.0700,Television Broadcasting Station Operator
,3521.0800,"Radio Operator, Broadcasting Station"
,3521.0900,Cinematograph Operator
,3521.1000,Public Address Equipment Operator
,3521.1100,"Station Officer, Overseas Communication"
,3521.1200,"Station Technical Assistant, Overseas"
,,Communication
,3521.1300,Wireless Operator
,3521.1400,"Radio Operator, Ship"
,3521.1500,"Radio Operator, Aircraft"
,3521.1600,"Control Tower Operator, Aerodrome"
,3521.1700,Radar Operator
,3521.2000,"Signaller, Ship"
,3521.2100,"Light Keeper, Light House"
,3521.9900,"Broadcasting and Audiovisual Technicians, Other"
Family,3522,Telecommunication Engineering Technicians
,NCO 2015,NCO 2004
3522.0100,"Telecommunication, Technician",3114.20
3522.0200,"Line Inspector, Telephone",3114.30
3522.0300,Telephone Inspector,3114.40
3522.0400,Wireless Inspector Electronics,3114.50
3522.9900,"Telecommunication Engineering Technicians,",
,Other,
,,NCO 2015
Division,4,Clerks/Clerical Support Workers
Sub-,41,General and Keyboard Clerks
Division,,
Group,411,General Office Clerks
Family,4110,General Office Clerks
,4110.0100,"Clerk, General"
,4110.0200,"Clerk, Enquiry"
,4110.0300,Copyright Clerk
,4110.0400,Copy Holder
,4110.0500,Timekeeper
,4110.0600,"Timekeeper, Motor Transport"
Group,412,Secretaries (General)
Family,4120,Secretaries (General)
,4120.0100,Private Secretary
,4120.0200,Personal Secretary
,4120.0300,Panchayat Secretary
,4120.9900,"Secretaries, Other"
Group,413,Keyboard Operators
Family,4131,Typists and Word Processing Operators
,4131.0100,Secretary/Back Office Support
,4131.0200,Reporter
,4131.0400,Braille Typist
,,NCO 2015
,4131.0500,Teleprinter Operator
,4131.0600,Computer Operator
,4131.9900,"Typists and Word Processing Operators,"
,,Other
Family,4132,Data Entry Clerks
,4132.0401,Data Entry Machine Operator
,4132.0402,Domestic Data Entry Operator
,4132.0600,Coding Machine Operator
,4132.0800,Duplicating Machine Operator/Photocopier
,4132.0900,Embossing Machine Operator
,4132.1000,Addressing Machine Operator
,4132.1300,Bookkeeping Machine Operator
,4132.1400,Bill Processing Clerk
,4132.9900,"Data Entry Clerks, Other"
Sub-,42,Customer Services Clerks
Division,,
Group,421,"Tellers, Money Collectors and Related"
,,Clerks
Family,4211,Bank Tellers and Related Clerks
,4211.0100,"Cashier, General"
,4211.0200,"Cashier, Bank"
,4211.0301,"Cashier, Cash Counter"
,4211.0302,"Cashier, Gem & Jewellery"
,,NCO 2015
,4211.0400,"Teller, Bank"
,4211.9900,"Bank Tellers and Related Clerks, Other"
Family,4212,"Bookmakers, Croupiers and Related"
,,Gaming Workers
,4212.0100,"Booking Clerk, Recreation"
,4212.0200,Bookmaker
,4212.9900,"Bookmakers, Croupiers and Related Gaming"
,,"Workers, Other"
Family,4213,Pawnbrokers and Moneylenders
,4213.0100  Moneylender,
,4213.0200,Pawn Broker
,4213.9900,"Pawnbrokers and Moneylenders, Other"
Family,4214,Debt Collectors and Related Workers
,4214.0100,Bill Collector
,4214.0201,Debt Recovery Agents
,4214.9900,"Debt Collectors and Related Workers, Other"
Group,422,Client Information Workers
Family,4221,Travel Consultants and Clerks
,4221.0100,Travel Consultants & Organizers
,4221.0200,Flight Attendants and Travel Stewards
,4221.0300,"Reservation Clerk, Transport/Reservation"
,,Assistant
,4221.0400,"Booking Clerk, Transport/Concierge"
,,NCO 2015
,4221.9900,"Travel Consultants and Clerks, Others"
Family,4222,Contact Centre Information Clerks
,4222.0101,Technical Support Executive – Non-Voice
,4222.0102,Technical Support Executive – Voice
Family,4223,Telephone Switchboard Operators
,4223.0100,"Telephone Operator, Trunk"
,4223.0200,"Telephone Operator, Local"
,4223.0300,"Telephone Operator, PBX"
,4223.9900,"Telephone Switchboard Operators, Other"
Family,4224,Hotel Receptionists
,4224.0100,Receptionist (Hotel)/Front Office Associate
,4224.9900,"Hotel Receptionists, Other"
Family,4225,Inquiry Clerks
,4225.0100,Complaint Attending Clerk/Customer Service
,,Desk/Customer Service Executive
,4225.9900,"Inquiry Clerks, Other"
Family,4226,Receptionist (General)
,4226.0100,Reception Clerk/Front Desk
,,Executive/Receptionist
,4226.0201,Showroom Hostess/Host
Family,4227,Survey and Market Research Interviewers
Family,4229,Client Information Worker Not Elsewhere
,,Classified
,,NCO 2015
Sub-,43,Numerical and Material Recording Clerks
Division,,
Group,431,Numerical Clerks
Family,4311,Accounting and Bookkeeping Clerks
,4311.0101,Bookkeeper General/Accounts Executive
,,(Recording and Reporting)
,4311.0200,Bank Clerk
,4311.0300,Ledger Clerk
,4311.0401,Accounts Executive (Accounts Payable &
,,Receivable)
,4311.0500,"Audit, Clerk"
,4311.0600,"Clerk, Cost Accounting"
,4311.0700,Bill and Accounts Collector
,4311.0801,Rubber Nursery Office Assistant
,4311.9900,"Accounting and Bookkeeping Clerks, Others"
Family,4312,Statistical Finance and Insurance Clerks
,4312.0100,Statistical Clerks
,4312.9900,"Statistical Finance and Insurance Clerks,"
,,Others
Family,4313,Payroll Clerks
,4313.0101,Accounts Clerk/Accounts Executive (Payroll)
,4313.0201,Accounts Executive (Statutory Compliance)
Group,432,Material Recording and Transport Clerks
Family,4321,Stock Clerks
,,NCO 2015
,4321.0100,Store Keeper
,4321.0101,Spare Parts Operations Executive
,4321.0102,Inventory Clerk
,4321.0103,Inventory Manager
,4321.0104,Storage Assistant
,4321.0200,Store Distributor
,4321.0301,Stock Verifier
,4321.0302,Incoming Inspection Technician
,4321.0401  Manager Stores Operation,
,4321.0402,Spare Parts Operations In-Charge
,4321.0501,Store Ops Assistant
,4321.0601  Warehouse Picker,
,4321.0602  Warehouse Binner,
,4321.0603  Warehouse Packer,
,4321.0604,Kitting and Labelling Executive
,4321.0701  Warranty Processor,
,4321.9900,"Stock Clerks, Other"
Family,4322,Production Clerks
,4322.0101,Inventory Manager (Wholesale)
,4322.0201,Junior Rubber Technician/Technical
,,Assistant
Family,4323,Transport Clerks
,,NCO 2015
,4323.0100,"Yard Master, Railway"
,4323.0200,Head Train Recorder
,4323.0300,"Traffic Regulator, Tram"
,4323.0400,"Controller, Tram"
,4323.0500,"Traffic Timetable Inspector, Tram"
,4323.9900,"Transport Clerks, Other"
Sub-,44,Other Clerical Support Workers
Division,,
Group,441,Other Clerical Support Workers
Family,4411,Library Clerks
,4411.0100,Library Clerk
,4411.0200,Braille and Talking Books Clerk
,4411.0300,"Preservation Assistant, Archives"
,4411.9900,"Library Clerks, Other"
Family,4412,Mail Carriers and Sorting Clerks
,4412.0100  Mail Guard,
,4412.0200,Postman
,4412.0300,Village Postman
,,"4412.9900  Mail Carriers and Sorting Clerks, Other"
Family,4413,"Coding, Proofreading and Related Clerks"
,4413.0100,Coding Clerk
,4413.0200,Proofreader
,,NCO 2015
,4413.9900,"Coding, Proofreading and Related Clerks,"
,,Others
Family,4414,Scribes and Related Clerks
,4414.0100,"Braille Transcriber, Hand"
,4414.9900,"Scribes and Related Clerks, Other"
Family,4415,Filing and Copying Clerks
Family,4416,Personnel Clerks
,4416.0101,Associate – HRO
Family,4419,Clerical Support Workers Not Elsewhere
,,Classified
,4419.0100,Publicity Assistant
,4419.0102,Business Correspondent
,4419.0200,Patwari
,4419.0300,"Patrol, Irrigation"
,4419.0400,Bailiff
,4419.0500,Office Boy/Peon
,4419.0600,Daftry
,4419.0800,Process Server
,4419.9900,"Clerical Support Workers, Other"
,,NCO 2015
Division,5,Service and Sales Workers
Sub-,51,Personal Service Workers
Division,,
Group,511,"Travel Attendants, Conductors and Guides"
Family,5111,Travel Attendants and Travel Stewards
,5111.0100,"Chief Steward, Ship/Chief Cook"
,5111.0200,"Steward, Ship/Mess Man"
,5111.0300,Air Hostess
,5111.0400,Flight Steward
,5111.0500,Aircraft Cargo Handling Supervisor
,5111.0600,Air Crew Member
,5111.9900,"Travel Attendants and Travel Stewards,"
,,Other
Family,5112,Transport Conductors
,5112.0100,"Guard, Passenger Train"
,5112.0200,"Guard, Goods Train"
,5112.0300,"Brakesman, Railway"
,5112.0400,"Conductor Guard, Railway"
,5112.0500,"Ticket Collector, Railway"
,5112.0600,"Travelling Ticket Examiner, Railway"
,5112.0700,"Ticket Examiner, Motor Transport"
,5112.0800,"Passenger Guide, Railway"
,5112.0900,"Conductor, Tram"
,,NCO 2015
,5112.1000,Bus Conductor
,5112.9900,"Transport Conductors, Other"
Family,5113,Travel Guides
,5113.0100,Travel Agent
,5113.0200,Tourist Guide
,5113.9900,"Guides, Other"
Group,512,Cooks
Family,5120,Cooks
,5120.0200,"Cook, Institutional"
,5120.0300,"Cook, Domestic"
,5120.0400,"Cook, Ship"
,5120.0500,Kitchen Porter/Steward
,5120.0600,Pantry Man
,5120.9900,"Cooks, Other"
Group,513,Waiters and Bartenders
Family,5131,Waiters
,5131.0100,Butler
,5131.0200,"Steward, Hotel"
,5131.0300,"Bearer, Domestic/Household Workers"
,,"5131.0401  Waiter, Institutional/Food & Beverage"
,,Service –Steward
,5131.0500  Wine Waiter,
,,NCO 2015
,"5131.9900  Waiters, Other",
Family,5132,Bartenders
,5132.0100,Barman
,5132.9900,"Bartenders, Other"
Group,514,"Hairdressers, Beauticians and Related"
,,Workers
Family,5141,Hairdressers
,5141.0100,Hairdresser (Ladies)
,5141.0202,Hair Stylist
,5141.0201,Assistant Hair Stylist
,5141.0300,Barber
,5141.9900,"Hairdressers, Other"
Family,5142,Beauticians and Related Workers
,5142.0100,Beautician
,5142.0101,Assistant Beautician
,5142.0200  Manicurist,
,5142.0201,Pedicurist and Manicurist
,5142.0300,Skincare Specialist
,5142.0400  Make-Up Man,
,5142.0500,"Dresser, Stage & Studio"
,5142.0600  Wigman,
,5142.0700,Bath Attendant
,,NCO 2015
,5142.9900,"Beauticians and Related Workers, Others"
Group,515,Building and Housekeeping Supervisors
Family,5151,Cleaning and Housekeeping Supervisors in
,,"Offices, Hotels and Other Establishments"
,5151.0101,Housekeeper (Institutional)/Housekeeping
,,Supervisor
,5151.0201,Janitor/Housekeeping Attendant
,5151.0202,Room Attendant
,5151.0300,House Stewards/Domestic Help
,"5151.0400  Matron, Housekeeping",
,5151.0500,Linen Keeper
,5151.0600,Hotel and Restaurant Keeper/Hotel and
,,Restaurant Owner
,5151.0701,"Supervisor, Front Office/Customer Service"
,,Executive (Meet and Greet)
,5151.0800,Room Bearer/Bell Boys/Bell Hop/Hotel
,,Porters
,5151.9900,Cleaning and Housekeeping Supervisors in
,,"Offices, Hotels and Other Establishments,"
,,NCO 2015
,5153.0200,"Caretaker, Monument"
,5153.0300,"Caretaker, Burial Places and Cremation"
,,Grounds
,5153.9900,"Building Caretakers, Other"
Group,516,Other Personal Services Workers
Family,5161,"Astrologers, Fortune Tellers and Related"
,,Workers
,5161.0100,Astrologer
,5161.0200,Palmist
,5161.9900,"Astrologers, Fortune Tellers and Related"
,,"Workers, Other"
Family,5162,Companions and Valets
Family,5163,Undertakers and Embalmers
,5163.0100,Undertaker
,5163.0200,Embalmer
,5163.0300,Grave Digger
,5163.9900,"Undertakers and Embalmers, Other"
Family,5164,Pet Groomers and Animal Care Workers
Family,5165,Driving Instructors
,5165.0101,Commercial Vehicle Driver Trainer
Family,5169,Personal Service Workers Not Elsewhere
,,Classified
Sub-,52,Sales Workers
Division,,
,,NCO 2015
Group,521,Street and Market Salespersons
Family,5211,Stall and Market Salespersons
,5211.0100,Advertising Sales Agent/Advertising
,,Executive
,5211.0200,Shop Attendant/Sales Assistant
,5211.0300,Telemarketing Sales Person/Telemarketing
,,Sales Operator
,5211.0301,Sales Executive – Dealership
,5211.0302,Telecaller
,5211.9900,"Stall and Market Salespersons, Other"
Family,5212,Street Food Salespersons
,5212.0100  Milkman,
,5212.9900,"Street Food Vendors, Other/Khomchawala,"
,,"Dhabawala, Chat Thelawala"
Group,522,Shop Salespersons
Family,5221,Shopkeepers
Family,5222,Shop Supervisors
,5222.0100,"Sales Supervisor, Wholesale Trade"
,5222.0101,Area Parts Manager (APM)
,5222.0201,"Sales Supervisor, Retail Trade/CRM"
,,Manager
Family,5223,Shop Sales Assistants
,5223.0100,Shop Assistant
,5223.0101,Order Processor
,NCO 2015,
,"5223.0102 
Jewellery Retail Sales Associate (Basic)",
,"5223.0103 
Jewellery Retail Sales Associate (Advanced)",
,"5223.0104 
Plumbing Products Sales Assistant",
,"5223.0105 
Trainee Associate",
Group,"523 
Cashiers and Ticket Clerks",
Family,"5230 
 
Cashiers and Ticket Clerks",
Group,"524 
Other Sales Workers",
Family,"5241 
Fashion and Other Models",
,"5241.0100  Model, Fashion",5210.10
,5241.0200  Model,5210.20
,"5241.9900 
Fashion and Models, Other",5210.90
Family,"5242 
Sales Demonstrators",
,"5242.0101 
Technical Demonstrator (Sale)/Area",5220.25
,Technical Lead,
,"5242.0102 
Sales Associate",
,"5242.0201 
Customer Care Executive (Relationship",
,Centre),
,"5242.0301 
Customer Care Executive (Repair Centre)",
,"5242.0401 
In-Store Promoter",
,"5242.0501 
Associate Network Engineer",5220.20
,"5242.0502 
Associate Operations Engineer",
,"5242.9900 
Sales Demonstrators, Other",5220.90
Family,"5243 
 
Door-to-Door Salespersons",
,,NCO 2015
,5243.0100,Newspaper Boy
,5243.0200,Order Supplier/Supplier
,5243.0300,Home Deliveryman
,5243.0401,Distributor Sales Representative
